CODIGO IES PADRE,IES,Año,Tasa,Tipo,Categoria,Nivel de formacion
1101.0,UNIVERSIDAD NACIONAL DE COLOMBIA,2010,4.82,TDA,IES Padre Total,nan
1105.0,UNIVERSIDAD PEDAGOGICA NACIONAL,2010,8.18,TDA,IES Padre Total,nan
1106.0,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,2010,5.81,TDA,IES Padre Total,nan
1110.0,UNIVERSIDAD DEL CAUCA,2010,6.7,TDA,IES Padre Total,nan
1111.0,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,2010,10.24,TDA,IES Padre Total,nan
1112.0,UNIVERSIDAD DE CALDAS,2010,9.63,TDA,IES Padre Total,nan
1113.0,UNIVERSIDAD DE CORDOBA,2010,11.76,TDA,IES Padre Total,nan
1114.0,UNIVERSIDAD SURCOLOMBIANA,2010,7.62,TDA,IES Padre Total,nan
1115.0,UNIVERSIDAD DE LA AMAZONIA,2010,10.1,TDA,IES Padre Total,nan
1117.0,UNIVERSIDAD MILITAR-NUEVA GRANADA,2010,15.21,TDA,IES Padre Total,nan
1118.0,UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,2010,12.51,TDA,IES Padre Total,nan
1119.0,UNIVERSIDAD DE LOS LLANOS,2010,6.27,TDA,IES Padre Total,nan
1120.0,UNIVERSIDAD POPULAR DEL CESAR,2010,12.21,TDA,IES Padre Total,nan
1121.0,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,2010,6.02,TDA,IES Padre Total,nan
1122.0,UNIVERSIDAD DEL PACIFICO,2010,15.8,TDA,IES Padre Total,nan
1201.0,UNIVERSIDAD DE ANTIOQUIA,2010,10.4,TDA,IES Padre Total,nan
1202.0,UNIVERSIDAD DEL ATLANTICO,2010,15.75,TDA,IES Padre Total,nan
1203.0,UNIVERSIDAD DEL VALLE,2010,9.6,TDA,IES Padre Total,nan
1204.0,UNIVERSIDAD INDUSTRIAL DE SANTANDER,2010,6.34,TDA,IES Padre Total,nan
1205.0,UNIVERSIDAD DE CARTAGENA,2010,8.28,TDA,IES Padre Total,nan
1206.0,UNIVERSIDAD DE NARIO,2010,18.12,TDA,IES Padre Total,nan
1207.0,UNIVERSIDAD DEL TOLIMA,2010,34.14,TDA,IES Padre Total,nan
1208.0,UNIVERSIDAD DEL QUINDIO,2010,11.01,TDA,IES Padre Total,nan
1209.0,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,2010,12.19,TDA,IES Padre Total,nan
1210.0,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,2010,17.12,TDA,IES Padre Total,nan
1212.0,UNIVERSIDAD DE PAMPLONA,2010,9.19,TDA,IES Padre Total,nan
1213.0,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,2010,10.99,TDA,IES Padre Total,nan
1214.0,UNIVERSIDAD DE CUNDINAMARCA-UDEC,2010,15.72,TDA,IES Padre Total,nan
1217.0,UNIVERSIDAD DE SUCRE,2010,6.7,TDA,IES Padre Total,nan
1218.0,UNIVERSIDAD DE LA GUAJIRA,2010,13.68,TDA,IES Padre Total,nan
1301.0,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,2010,5.81,TDA,IES Padre Total,nan
1701.0,PONTIFICIA UNIVERSIDAD JAVERIANA,2010,7.45,TDA,IES Padre Total,nan
1703.0,UNIVERSIDAD INCCA DE COLOMBIA,2010,15.95,TDA,IES Padre Total,nan
1704.0,UNIVERSIDAD SANTO TOMAS,2010,14.97,TDA,IES Padre Total,nan
1706.0,UNIVERSIDAD EXTERNADO DE COLOMBIA,2010,12.91,TDA,IES Padre Total,nan
1707.0,FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO,2010,9.11,TDA,IES Padre Total,nan
1709.0,UNIVERSIDAD CENTRAL,2010,12.15,TDA,IES Padre Total,nan
1710.0,UNIVERSIDAD PONTIFICIA BOLIVARIANA,2010,8.15,TDA,IES Padre Total,nan
1711.0,UNIVERSIDAD DE LA SABANA,2010,5.33,TDA,IES Padre Total,nan
1712.0,UNIVERSIDAD EAFIT-,2010,5.17,TDA,IES Padre Total,nan
1713.0,UNIVERSIDAD DEL NORTE,2010,5.69,TDA,IES Padre Total,nan
1714.0,COLEGIO MAYOR DE NUESTRA SEORA DEL ROSARIO,2010,7.75,TDA,IES Padre Total,nan
1715.0,FUNDACION UNIVERSIDAD DE AMERICA,2010,4.68,TDA,IES Padre Total,nan
1718.0,UNIVERSIDAD DE SAN BUENAVENTURA,2010,12.95,TDA,IES Padre Total,nan
1719.0,UNIVERSIDAD CATOLICA DE COLOMBIA,2010,18.56,TDA,IES Padre Total,nan
1720.0,UNIVERSIDAD MARIANA,2010,23.21,TDA,IES Padre Total,nan
1722.0,UNIVERSIDAD DE MANIZALES,2010,6.11,TDA,IES Padre Total,nan
1725.0,FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,2010,14.56,TDA,IES Padre Total,nan
1726.0,UNIVERSIDAD CATOLICA DE ORIENTE -UCO,2010,10.74,TDA,IES Padre Total,nan
1728.0,UNIVERSIDAD SERGIO ARBOLEDA,2010,14.18,TDA,IES Padre Total,nan
1729.0,UNIVERSIDAD EL BOSQUE,2010,9.04,TDA,IES Padre Total,nan
1734.0,UNIVERSIDAD DE BOYACA UNIBOYACA,2010,11.82,TDA,IES Padre Total,nan
1735.0,UNIVERSIDAD MANUELA BELTRAN-UMB-,2010,11.33,TDA,IES Padre Total,nan
1801.0,UNIVERSIDAD LA GRAN COLOMBIA,2010,11.88,TDA,IES Padre Total,nan
1803.0,UNIVERSIDAD DE LA SALLE,2010,11.74,TDA,IES Padre Total,nan
1804.0,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,2010,12.52,TDA,IES Padre Total,nan
1805.0,UNIVERSIDAD SANTIAGO DE CALI,2010,13.17,TDA,IES Padre Total,nan
1806.0,UNIVERSIDAD LIBRE,2010,8.83,TDA,IES Padre Total,nan
1812.0,UNIVERSIDAD DE MEDELLIN,2010,6.71,TDA,IES Padre Total,nan
1813.0,UNIVERSIDAD DE LOS ANDES,2010,5.64,TDA,IES Padre Total,nan
1814.0,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,2010,6.71,TDA,IES Padre Total,nan
1815.0,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,2010,9.5,TDA,IES Padre Total,nan
1818.0,UNIVERSIDAD COOPERATIVA DE COLOMBIA,2010,13.97,TDA,IES Padre Total,nan
1823.0,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,2010,10.87,TDA,IES Padre Total,nan
1824.0,UNIVERSIDAD METROPOLITANA,2010,10.38,TDA,IES Padre Total,nan
1825.0,UNIVERSIDAD AUTONOMA DE MANIZALES,2010,11.54,TDA,IES Padre Total,nan
1826.0,UNIVERSIDAD ANTONIO NARIO,2010,16.54,TDA,IES Padre Total,nan
1827.0,UNIVERSIDAD CATOLICA DE MANIZALES,2010,4.71,TDA,IES Padre Total,nan
1828.0,UNIVERSIDAD ICESI,2010,6.46,TDA,IES Padre Total,nan
1830.0,UNIVERSIDAD AUTONOMA DE OCCIDENTE,2010,13.68,TDA,IES Padre Total,nan
1831.0,UNIVERSIDAD DE IBAGUE,2010,11.59,TDA,IES Padre Total,nan
1832.0,UNIVERSIDAD TECNOLOGICA DE BOLIVAR,2010,12.6,TDA,IES Padre Total,nan
1833.0,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,2010,10.68,TDA,IES Padre Total,nan
1835.0,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,2010,15.27,TDA,IES Padre Total,nan
2102.0,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,2010,26.83,TDA,IES Padre Total,nan
2104.0,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,2010,11.17,TDA,IES Padre Total,nan
2106.0,DIRECCION NACIONAL DE ESCUELAS,2010,0.51,TDA,IES Padre Total,nan
2110.0,COLEGIO MAYOR DE ANTIOQUIA,2010,26.82,TDA,IES Padre Total,nan
2114.0,ESCUELA NACIONAL DEL DEPORTE,2010,15.09,TDA,IES Padre Total,nan
2206.0,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,2010,8.54,TDA,IES Padre Total,nan
2207.0,INSTITUTO UNIVERSITARIO DE LA PAZ,2010,13.99,TDA,IES Padre Total,nan
2208.0,CONSERVATORIO DEL TOLIMA,2010,5.18,TDA,IES Padre Total,nan
2209.0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,2010,17.25,TDA,IES Padre Total,nan
2211.0,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,2010,14.19,TDA,IES Padre Total,nan
2301.0,UNIDAD CENTRAL DEL VALLE DEL CAUCA,2010,10.01,TDA,IES Padre Total,nan
2302.0,INSTITUCION UNIVERSITARIA DE ENVIGADO,2010,14.23,TDA,IES Padre Total,nan
2701.0,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,2010,31.08,TDA,IES Padre Total,nan
2702.0,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,2010,4.26,TDA,IES Padre Total,nan
