PERIODO,NOMBRE_FACULTAD,NOMBRE_PROGRAMA,JORNADA,MODALIDAD,NOMBRE_SEDE,TIPO_IDEN_EST,FECHA_NACIMIENTO,GENERO,ESTRATO,NOMBRE_ESTADO,ORIGEN_GEOGRAFICO,LUGAR_EXPEDICION,tipo_desercion,edad
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1976-03-20,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,LIT. A,48
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1977-10-22,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,SOATÁ,SOATÁ,LIT. B,47
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1996-07-17,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOCHA,SOCHA,LIT. A,28
PRIMER SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LITERATURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-11-08,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CÚCUTA,CÚCUTA,LIT. A,36
PRIMER SEMESTRE 2020,DERECHO Y CIENCIAS  SOCIALES,MAESTRIA EN DERECHOS HUMANOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1992-10-28,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BERBEO,TUNJA,LIT. A,32
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1991-03-31,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BARBOSA,BUCARAMANGA,LIT. A,33
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1979-01-13,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,QUETAME,QUETAME,LIT. A,45
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1986-10-21,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,MONGUA,SOGAMOSO,LIT. A,38
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN BASES DE DATOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1994-02-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,OROCUÉ,SOGAMOSO,LIT. B,30
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN BASES DE DATOS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-09-29,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SOGAMOSO,SOGAMOSO,LIT. A,34
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1983-09-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BUCARAMANGA,BUCARAMANGA,LIT. A,41
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-03-28,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. A,40
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-26,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,PUENTE NACIONAL,BARBOSA,LIT. A,34
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN ESTRUCTURAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-05-10,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,PÁEZ,TUNJA,LIT. A,36
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-08-19,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,33
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-09-15,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,NUEVO COLÓN,LIT. A,33
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ESPECIALIZACION EN GESTION ESTRATEGICA DE PROYECTOS,DIURNA - NOCTURA,PRESENCIAL,DUITAMA,C.C.,1992-09-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,LIT. A,32
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1987-05-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,37
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1992-12-11,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SANTA ROSA DE VITERBO,DUITAMA,LIT. A,32
PRIMER SEMESTRE 2020,SECCIONAL SOGAMOSO,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1981-02-02,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,43
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2000-09-06,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,LIT. B,24
PRIMER SEMESTRE 2020,SECCIONAL TUNJA,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,2002-10-27,F,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,PAIPA,PAIPA,LIT. B,22
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2004-02-16,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,LIT. B,20
PRIMER SEMESTRE 2020,SECCIONAL CHIQUINQUIRA,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,DIURNA - NOCTURA,VIRTUAL,CHIQUINQUIRA,C.C.,2003-01-13,M,SIN INFORMACIÓN,PERDIO CUPO A130/98 ART. 80 LIT. B,CALDAS,CALDAS,LIT. B,21
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1988-06-02,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTÁ D.C.,BOGOTÁ D.C.,LIT. A,36
SEGUNDO SEMESTRE DE 2020,CIENCIAS AGROPECUARIAS,MAESTRIA EN CIENCIAS VETERINARIAS,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-28,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,TUNJA,TUNJA,LIT. A,34
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,DOCTORADO EN LENGUAJE Y CULTURA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1964-12-05,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,CHIQUINQUIRÁ,CHIQUINQUIRÁ,LIT. A,60
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-11-14,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,BOGOTA D.E,TUNJA,LIT. A,40
SEGUNDO SEMESTRE DE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN HISTORIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1995-12-27,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,NEIVA,VILLA DE LEYVA,LIT. A,29
