edad,GENERO,ESTRATO,NOMBRE_PROGRAMA,NOMBRE_FACULTAD,tipo_desercion
48,F,,MAESTRIA EN EDUCACION,CIENCIAS DE LA EDUCACION,A
47,F,,MAESTRIA EN EDUCACION,CIENCIAS DE LA EDUCACION,B
28,M,,MAESTRIA EN HISTORIA,CIENCIAS DE LA EDUCACION,A
36,F,,MAESTRIA EN LITERATURA,CIENCIAS DE LA EDUCACION,A
32,F,,MAESTRIA EN DERECHOS HUMANOS,DERECHO Y CIENCIAS  SOCIALES,A
33,M,,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,ESTUDIOS A DISTANCIA,A
45,F,,MAESTRIA EN DIDACTICA DE LA MATEMATICA,ESTUDIOS A DISTANCIA,A
38,M,,MAESTRIA EN DIDACTICA DE LA MATEMATICA,ESTUDIOS A DISTANCIA,A
30,M,,ESPECIALIZACION EN BASES DE DATOS,INGENIERIA,B
34,M,,ESPECIALIZACION EN BASES DE DATOS,INGENIERIA,A
41,M,,ESPECIALIZACION EN ESTRUCTURAS,INGENIERIA,A
40,M,,ESPECIALIZACION EN ESTRUCTURAS,INGENIERIA,A
34,M,,ESPECIALIZACION EN ESTRUCTURAS,INGENIERIA,A
36,M,,ESPECIALIZACION EN ESTRUCTURAS,INGENIERIA,A
33,M,,ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,INGENIERIA,A
33,M,,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,INGENIERIA,A
32,M,,ESPECIALIZACION EN GESTION ESTRATEGICA DE PROYECTOS,SECCIONAL DUITAMA,A
37,M,,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,SECCIONAL SOGAMOSO,A
32,M,,ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES,SECCIONAL SOGAMOSO,A
43,M,,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",SECCIONAL SOGAMOSO,A
24,F,,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,SECCIONAL TUNJA,B
22,F,,TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES,SECCIONAL TUNJA,B
20,M,,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,SECCIONAL CHIQUINQUIRA,B
21,M,,TECNICA PROFESIONAL EN PROCESOS AGROINDUSTRIALES,SECCIONAL CHIQUINQUIRA,B
36,F,,MAESTRIA EN CIENCIAS VETERINARIAS,CIENCIAS AGROPECUARIAS,A
34,M,,MAESTRIA EN CIENCIAS VETERINARIAS,CIENCIAS AGROPECUARIAS,A
60,M,,DOCTORADO EN LENGUAJE Y CULTURA,CIENCIAS DE LA EDUCACION,A
40,M,,MAESTRIA EN EDUCACION,CIENCIAS DE LA EDUCACION,A
29,M,,MAESTRIA EN HISTORIA,CIENCIAS DE LA EDUCACION,A
37,M,,MAESTRIA EN ECONOMIA,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,B
42,F,,MAESTRIA EN DERECHOS HUMANOS,DERECHO Y CIENCIAS  SOCIALES,A
32,M,,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,ESTUDIOS A DISTANCIA,A
31,M,,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,ESTUDIOS A DISTANCIA,A
31,M,,ESPECIALIZACION EN ALTA GERENCIA DE EMPRESAS,ESTUDIOS A DISTANCIA,B
33,F,,MAESTRIA EN DIDACTICA DE LA MATEMATICA,ESTUDIOS A DISTANCIA,A
39,M,,MAESTRIA EN DIDACTICA DE LA MATEMATICA,ESTUDIOS A DISTANCIA,A
53,F,,MAESTRIA EN DIDACTICA DE LA MATEMATICA,ESTUDIOS A DISTANCIA,C
32,F,,ESPECIALIZACION EN GESTION DE INTEGRIDAD Y CORROSIN,INGENIERIA,A
33,M,,MAESTRIA EN GEOTECNIA,INGENIERIA,A
48,M,,MAESTRIA EN INGENIERIA AMBIENTAL,INGENIERIA,B
34,M,,MAESTRIA EN INGENIERIA AMBIENTAL,INGENIERIA,A
40,M,,MAESTRIA EN INGENIERIA AMBIENTAL,INGENIERIA,B
42,M,,ESPECIALIZACIN EN INFORMTICA PARA LA DOCENCIA,SECCIONAL DUITAMA,A
47,F,,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",SECCIONAL SOGAMOSO,B
26,F,2,FISICA,CIENCIAS,B
27,M,2,FISICA,CIENCIAS,B
27,M,2,FISICA,CIENCIAS,B
29,M,1,FISICA,CIENCIAS,C
27,M,2,FISICA,CIENCIAS,B
24,M,1,FISICA,CIENCIAS,C
