codigo_ies_padre,ies,ano,tasa,tipo,categoria,nivel_de_formacion,tasa_lag1,tasa_lag2,tasa_lag3,rolling_mean_3,rolling_std_3,tasa_predicha
4110.0,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,2013,31.08,TAI,IES Padre Nivel Formacin,TyT,26.63,36.02,26.4,13.42,11.4546,27.039728
4110.0,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,2013,11.11,TAI,IES Padre Nivel Formacin,Universitario,20.0,16.67,0.0,17.6233,10.4007,19.206507
4111.0,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL - HUMBERTO VELASQUEZ GARCIA,2013,23.56,TAI,IES Padre Nivel Formacin,TyT,34.15,27.54,53.25,26.9267,7.0797,30.044006
4111.0,INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL - HUMBERTO VELASQUEZ GARCIA,2013,17.28,TAI,IES Padre Nivel Formacin,Universitario,29.91,30.52,25.86,28.02,7.2619,27.152195
4112.0,COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC,2013,25.16,TAI,IES Padre Nivel Formacin,TyT,37.91,40.17,41.28,33.99,4.0024,35.227974
4701.0,FUNDACION ACADEMIA DE DIBUJO PROFESIONAL,2013,22.51,TAI,IES Padre Nivel Formacin,TyT,20.21,24.16,21.99,29.3433,8.8636,22.589924
4702.0,FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-,2013,47.39,TAI,IES Padre Nivel Formacin,TyT,34.55,0.0,99.92,30.89,9.4005,47.531723
4705.0,"FUNDACION CENTRO DE EDUCACION SUPERIOR,INVESTIGACION Y PROFESIONALIZACION -CEDINPRO-",2013,87.64,TAI,IES Padre Nivel Formacin,TyT,76.79,86.25,68.75,43.85,29.4141,65.994644
4708.0,FUNDACION ESCUELA COLOMBIANA DE HOTELERIA Y TURISMO-ECOTET-,2013,92.42,TAI,IES Padre Nivel Formacin,TyT,17.43,23.19,17.8,42.9233,30.553,22.173542
4709.0,INSTITUCION UNIVERSITARIA EAM,2013,14.98,TAI,IES Padre Nivel Formacin,TyT,14.94,16.14,18.5,36.3867,35.0125,17.368505
